question,human_response,Laboratorio Biomed_base
"Hola, necesito saber el horario de atención de la sucursal Centro en Puerto Montt.","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊"
"Hola, necesito saber el horario de atención de la sucursal Centro en Puerto Montt.","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊"
"Hola, necesito saber el horario de atención de la sucursal Centro en Puerto Montt.","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊"
"Hola, necesito saber el horario de atención de la sucursal Centro en Puerto Montt.","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊","¡Hola! El horario de atención de nuestra Sucursal Centro en Puerto Montt (Benavente 474) es de lunes a viernes de 07:30 a 16:30 horas para atención al cliente y hasta las 16:00 horas para toma de muestras. Los sábados, atención al cliente de 08:00 a 13:00 y toma de muestras hasta las 12:30. ¿Puedo ayudarte en algo más? 😊"
Quiero agendar una hora con el Dr. Raúl Mansilla.,¡Claro! Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1. 😊,Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: [Agendar cita](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1). 😊
Quiero agendar una hora con el Dr. Raúl Mansilla.,¡Claro! Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1. 😊,Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: [Agendar cita](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1). 😊
Quiero agendar una hora con el Dr. Raúl Mansilla.,¡Claro! Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1. 😊,¡Claro! Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: [Agendar cita](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1). 😊
Quiero agendar una hora con el Dr. Raúl Mansilla.,¡Claro! Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1. 😊,¡Claro! Puedes agendar una cita con el Dr. Raúl Mansilla a través de este enlace: [Agendar cita](https://8d38a057041999f08f2c133e325c84c029351e63.agenda.softwaremedilink.com/agenda?modalidad=1). 😊
¿Qué necesito para realizar el examen de glucosa en orina?,"Para conocer los requisitos del examen de glucosa en orina, por favor permíteme consultar la información. 😊 (Aquí se usaría la función consultar_tabla y se entregaría la información resumida)","Realizamos diversos tipos de exámenes de orina. Para brindarte información precisa, ¿podrías especificar el examen de orina que deseas realizar? 😊"
¿Qué necesito para realizar el examen de glucosa en orina?,"Para conocer los requisitos del examen de glucosa en orina, por favor permíteme consultar la información. 😊 (Aquí se usaría la función consultar_tabla y se entregaría la información resumida)","Realizamos diversos tipos de exámenes de orina. Para brindarte información precisa, ¿podrías especificar el examen de orina que deseas realizar? 😊"
