question,human_response,Spencer Consulting_base
¡Quiero saber más de sus cursos y talleres!,Qué habilidades estás buscando desarrollar? Tenemos el curso de la magia del lenguaje. Perfecto para encausar tu propósito a través del lenguaje.,¡Hola! Soy tu asistente de Spencer Consulting. Tenemos un ciclo de cursos para un Reset Mental. ¿Qué habilidades te gustaría desarrollar?
¡Quiero saber más de sus cursos y talleres!,Qué habilidades estás buscando desarrollar? Tenemos el curso de la magia del lenguaje. Perfecto para encausar tu propósito a través del lenguaje.,"¡Hola! Soy tu asistente de Spencer Consulting. Claro, tenemos cursos como ""Coaching, Magia y Transformación"" y ""PNL Aplicada"". ¿Buscas algo específico?"
¡Quiero saber más de sus cursos y talleres!,Qué habilidades estás buscando desarrollar? Tenemos el curso de la magia del lenguaje. Perfecto para encausar tu propósito a través del lenguaje.,¡Hola! Soy tu asistente de Spencer Consulting. ¿Qué habilidades te gustaría desarrollar? Te puedo contar sobre nuestros cursos y talleres.
¡Quiero saber más de sus cursos y talleres!,Qué habilidades estás buscando desarrollar? Tenemos el curso de la magia del lenguaje. Perfecto para encausar tu propósito a través del lenguaje.,"¡Hola! Soy tu asistente de Spencer Consulting. Tenemos cursos como Coaching, Magia y Transformación, Magia del Lenguaje y PNL Aplicada. ¿Te gustaría recibir más información por email?"
Los talleres son grupales o individuales?,"Tenemos cursos de distintas naturaleza. Los cursos abiertos son grupales, pero las mentorías son individuales.","¡Hola! Soy tu asistente de Spencer Consulting. Los cursos son grupales, mientras que las mentorías son individuales. ¿Te gustaría más información sobre alguno?"
Los talleres son grupales o individuales?,"Tenemos cursos de distintas naturaleza. Los cursos abiertos son grupales, pero las mentorías son individuales.","¡Hola! Soy tu asistente de Spencer Consulting. Los cursos son grupales, mientras que las mentorías son individuales. ¿Te gustaría más información sobre alguno?"
Los talleres son grupales o individuales?,"Tenemos cursos de distintas naturaleza. Los cursos abiertos son grupales, pero las mentorías son individuales.","¡Hola! Soy tu asistente de Spencer Consulting. Los cursos son grupales, mientras que las mentorías son individuales. ¿Te gustaría saber más?"
Los talleres son grupales o individuales?,"Tenemos cursos de distintas naturaleza. Los cursos abiertos son grupales, pero las mentorías son individuales.","¡Hola! Soy tu asistente de Spencer Consulting. Los cursos son grupales, mientras que las mentorías son individuales. ¿Te gustaría más información?"
¿Me das más información de las mentorías?,"Perfecto, te gustaría que te enviemos un correo con más información?",¡Hola! Soy tu asistente de Spencer Consulting. Nuestras mentorías son individuales y se enfocan en Desarrollo de Liderazgo y Desarrollo Espiritual. ¿Te gustaría recibir más información por correo?
¿Me das más información de las mentorías?,"Perfecto, te gustaría que te enviemos un correo con más información?",¡Hola! Soy tu asistente de Spencer Consulting. Nuestras mentorías son individuales y se centran en Desarrollo de Liderazgo y Desarrollo Espiritual. ¿Te gustaría que te enviemos un correo con más información?
¿Me das más información de las mentorías?,"Perfecto, te gustaría que te enviemos un correo con más información?","¡Hola! Soy tu asistente de Spencer Consulting. Nuestras mentorías son:

1. Desarrollo Liderazgo: Fortalece tu liderazgo y autoestima.
2. Desarrollo Espiritual: Supera miedos y limitaciones.

¿Te gustaría que te envíe más información por correo?"
¿Me das más información de las mentorías?,"Perfecto, te gustaría que te enviemos un correo con más información?","¡Hola! Soy tu asistente de Spencer Consulting. Nuestras mentorías son: 

1. Desarrollo Liderazgo: Fortalece tu liderazgo y autoestima.
2. Desarrollo Espiritual: Supera miedos y limitaciones.

¿Te gustaría que te enviemos más información por correo?"
Estoy interesado en el curso de PNL Aplicada.,Dame tu nombre y correo para registrarlos y enviarte directamente a la página de inscripción.,"¡Hola! Soy tu asistente de Spencer Consulting. Por favor, indícame tu nombre y correo electrónico para enviarte el link de inscripción."
Estoy interesado en el curso de PNL Aplicada.,Dame tu nombre y correo para registrarlos y enviarte directamente a la página de inscripción.,"¡Hola! Soy tu asistente de Spencer Consulting. Por favor, indícame tu nombre y correo para enviarte el link de inscripción."
Estoy interesado en el curso de PNL Aplicada.,Dame tu nombre y correo para registrarlos y enviarte directamente a la página de inscripción.,"¡Hola! Soy el asistente de Spencer Consulting. Por favor, indícame tu nombre y correo electrónico para enviarte el link de inscripción."
Estoy interesado en el curso de PNL Aplicada.,Dame tu nombre y correo para registrarlos y enviarte directamente a la página de inscripción.,"¡Hola! Soy tu asistente de Spencer Consulting. Por favor, indícame tu nombre y correo electrónico para enviarte el link de inscripción."
